jmap -histo:live 17142

 num     #instances         #bytes  class name
 450:            16           1024  org.hibernate.validator.internal.metadata.descriptor.ConstraintDescriptorImpl
 451:            42           1008  org.apache.coyote.ActionCode
 452:            14           1008  org.springframework.web.servlet.view.JstlView
 453:            11            968  org.apache.jasper.compiler.Node$Root
 454:            60            960  com.sun.org.apache.xerces.internal.util.AugmentationsImpl
 455:            30            960  java.security.Provider$EngineDescription
 456:            24            960  org.hibernate.validator.internal.metadata.aggregated.PropertyMetaData
 457:            40            960  sun.reflect.generics.tree.Wildcard
 458:            23            920  org.joda.time.chrono.ZonedChronology$ZonedDateTimeField
 459:            19            912  org.hibernate.validator.internal.util.ConcurrentReferenceHashMap$SoftKeyReference
 460:            19            912  org.hibernate.validator.internal.util.ConcurrentReferenceHashMap$SoftValueReference
 461:             8            896  org.apache.taglibs.standard.tlv.JstlFmtTLV
 462:             8            896  org.hsqldb.ClientConnection
 463:            37            888  java.util.Arrays$ArrayList
 464:             8            880  [D
